input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000211475.1	GCF_000211475.1	ASM21147v1	342949	Pyrococcus sp. NA2	strain=NA2	latest	Complete Genome	14	14	93.33	0.00
GCF_000213825.1	GCF_000213825.1	ASM21382v1	936154	Streptococcus parauberis KCTC 11537	strain=KCTC 11537	latest	Complete Genome	14	14	93.33	0.00
GCF_000223905.1	GCF_000223905.1	ASM22390v1	634497	Haloarcula hispanica ATCC 33960	strain=CGMCC 1.2049	latest	Complete Genome	13	12	80.00	6.67
GCF_000224745.1	GCF_000224745.1	ASM22474v1	762570	Rhodothermus marinus SG0.5JP17-172	strain=SG0.5JP17-172	latest	Complete Genome	14	14	93.33	0.00
GCF_000210915.2	GCF_000210915.2	ASM21091v2	862908	Halobacteriovorax marinus SJ	strain=SJ	latest	Complete Genome	14	14	93.33	0.00
GCF_000211855.2	GCF_000211855.2	ASM21185v3	983544	Lacinutrix sp. 5H-3-7-4	strain=5H-3-7-4	latest	Complete Genome	14	14	93.33	0.00
GCF_000025665.1	GCF_000025665.1	ASM2566v1	439481	Aciduliprofundum boonei T469	strain=T469	latest	Complete Genome	14	14	93.33	0.00
GCF_000223395.1	GCF_000223395.1	ASM22339v1	694429	Pyrolobus fumarii 1A	strain=1A	latest	Complete Genome	14	14	93.33	0.00
GCF_000222485.1	GCF_000222485.1	ASM22248v1	880070	Cyclobacterium marinum DSM 745	strain=DSM 745	latest	Complete Genome	14	14	93.33	0.00
GCF_000214665.1	GCF_000214665.1	ASM21466v1	857087	Methylomonas methanica MC09	strain=MC09	latest	Complete Genome	14	14	93.33	0.00
GCF_000220645.1	GCF_000220645.1	ASM22064v1	1053692	Methanococcus maripaludis X1	strain=X1	latest	Complete Genome	14	14	93.33	0.00
GCF_000226565.1	GCF_000226565.1	ASM22656v1	1085623	Glaciecola nitratireducens FR1064	strain=FR1064	latest	Complete Genome	14	14	93.33	0.00
GCF_000224085.1	GCF_000224085.1	ASM22408v1	886377	Muricauda ruestringensis DSM 13258	strain=DSM 13258	latest	Complete Genome	14	14	93.33	0.00
GCF_000230555.1	GCF_000230555.1	ASM23055v1	1082931	Pelagibacterium halotolerans B2	strain=B2	latest	Complete Genome	14	14	93.33	0.00
GCF_000192865.1	GCF_000192865.1	ASM19286v1	717774	Marinomonas mediterranea MMB-1	strain=MMB-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000233775.1	GCF_000233775.1	ASM23377v1	580340	Thermovirga lienii DSM 17291	strain=DSM 17291	latest	Complete Genome	14	14	93.33	0.00
GCF_000189295.2	GCF_000189295.2	ASM18929v2	641491	Desulfovibrio desulfuricans ND132	strain=ND132	latest	Complete Genome	14	14	93.33	0.00
GCF_000230655.2	GCF_000230655.2	ASM23065v3	243274	Thermotoga maritima MSB8	strain=MSB8	latest	Complete Genome	14	14	93.33	0.00
GCF_000237865.1	GCF_000237865.1	ASM23786v1	768065	Haloquadratum walsbyi C23	strain=DSM 16854 = C23	latest	Complete Genome	13	12	80.00	6.67
GCF_000227745.2	GCF_000227745.2	ASM22774v3	765911	Thiocystis violascens DSM 198	strain=DSM 198	latest	Complete Genome	14	14	93.33	0.00
GCF_000236645.1	GCF_000236645.1	ASM23664v1	911045	Pseudovibrio sp. FO-BEG1	strain=FO-BEG1	latest	Chromosome	14	14	93.33	0.00
GCF_000263735.1	GCF_000263735.1	ASM26373v1	1183377	Pyrococcus sp. ST04	strain=ST04	latest	Complete Genome	13	13	86.67	0.00
GCF_000246985.2	GCF_000246985.2	ASM24698v3	523849	Thermococcus litoralis DSM 5473	strain=DSM 5473	latest	Complete Genome	14	14	93.33	0.00
GCF_000230895.2	GCF_000230895.2	ASM23089v3	710685	Mycolicibacterium rhodesiae NBB3	strain=NBB3	latest	Complete Genome	14	14	93.33	0.00
GCF_000250635.1	GCF_000250635.1	ASM25063v1	984262	Saprospira grandis str. Lewin	strain=Lewin	latest	Complete Genome	14	14	93.33	0.00
GCF_000236705.1	GCF_000236705.1	ASM23670v1	926562	Owenweeksia hongkongensis DSM 17368	strain=DSM 17368	latest	Complete Genome	14	14	93.33	0.00
GCF_000265525.1	GCF_000265525.1	ASM26552v1	163003	Thermococcus cleftensis	strain=CL1	latest	Complete Genome	14	14	93.33	0.00
GCF_000253255.1	GCF_000253255.1	ASM25325v1	702113	Novosphingobium sp. PP1Y	strain=PP1Y	latest	Complete Genome	14	14	93.33	0.00
GCF_000241385.1	GCF_000241385.1	ASM24138v1	1116375	Vibrio sp. EJY3	strain=EJY3	latest	Complete Genome	14	14	93.33	0.00
GCF_000265405.1	GCF_000265405.1	ASM26540v1	866536	Belliella baltica DSM 15883	strain=DSM 15883	latest	Complete Genome	14	14	93.33	0.00
GCF_000267545.1	GCF_000267545.1	ASM26754v1	1196835	Pseudomonas stutzeri CCUG 29243	strain=CCUG 29243	latest	Complete Genome	14	14	93.33	0.00
GCF_000194135.1	GCF_000194135.1	ASM19413v1	760142	Hippea maritima DSM 10411	strain=DSM 10411	latest	Complete Genome	14	14	93.33	0.00
GCF_000265505.1	GCF_000265505.1	ASM26550v1	880071	Bernardetia litoralis DSM 6794	strain=DSM 6794	latest	Complete Genome	14	14	93.33	0.00
GCF_000269945.1	GCF_000269945.1	ASM26994v1	420890	Lactococcus garvieae Lg2	strain=Lg2	latest	Complete Genome	14	14	93.33	0.00
GCF_000213655.1	GCF_000213655.1	ASM21365v1	715451	Alteromonas naphthalenivorans	strain=SN2	latest	Complete Genome	14	14	93.33	0.00
GCF_000203935.1	GCF_000203935.1	ASM20393v1	94122	Shewanella sp. ANA-3	strain=ANA-3	latest	Complete Genome	14	14	93.33	0.00
GCF_000196875.2	GCF_000196875.2	ASM19687v2	768066	Halomonas elongata DSM 2581	strain=type strain: DSM 2581	latest	Complete Genome	14	14	93.33	0.00
GCF_000264765.2	GCF_000264765.2	ASM26476v2	667120	Edwardsiella anguillarum ET080813	strain=80813	latest	Complete Genome	14	14	93.33	0.00
GCF_000269925.1	GCF_000269925.1	ASM26992v1	420889	Lactococcus garvieae ATCC 49156	strain=ATCC 49156	latest	Complete Genome	14	14	93.33	0.00
GCF_000259255.1	GCF_000259255.1	ASM25925v1	182217	Helicobacter cetorum MIT 00-7128	strain=MIT 00-7128	latest	Complete Genome	14	14	93.33	0.00
GCF_000284115.1	GCF_000284115.1	ASM28411v1	1142394	Phycisphaera mikurensis NBRC 102666	strain=NBRC 102666	latest	Complete Genome	14	14	93.33	0.00
GCF_000255135.1	GCF_000255135.1	ASM25513v1	443254	Marinitoga piezophila KA3	strain=KA3	latest	Complete Genome	14	14	93.33	0.00
GCF_000283275.1	GCF_000283275.1	ASM28327v1	490759	Marinobacter sp. BSs20148	strain=BSs20148	latest	Complete Genome	14	14	93.33	0.00
GCF_000013605.1	GCF_000013605.1	ASM1360v1	338969	Rhodoferax ferrireducens T118	strain=DSM 15236	latest	Complete Genome	14	14	93.33	0.00
GCF_000266905.1	GCF_000266905.1	ASM26690v1	710421	Mycolicibacterium chubuense NBB4	strain=NBB4	latest	Complete Genome	14	14	93.33	0.00
GCF_000299115.1	GCF_000299115.1	ASM29911v1	744985	alpha proteobacterium HIMB59	strain=HIMB59	latest	Complete Genome	14	14	93.33	0.00
GCF_000299095.1	GCF_000299095.1	ASM29909v1	859653	alpha proteobacterium HIMB5	strain=HIMB5	latest	Complete Genome	14	14	93.33	0.00
GCF_000284615.1	GCF_000284615.1	ASM28461v1	1163748	Marinobacter hydrocarbonoclasticus ATCC 49840	strain=ATCC 49840	latest	Complete Genome	14	14	93.33	0.00
GCF_000264455.2	GCF_000264455.2	ASM26445v2	1110502	Tistrella mobilis KA081020-065	strain=KA081020-065	latest	Complete Genome	14	14	93.33	0.00
GCF_000259275.1	GCF_000259275.1	ASM25927v1	1163745	Helicobacter cetorum MIT 99-5656	strain=MIT 99-5656	latest	Complete Genome	14	14	93.33	0.00
GCF_000299965.1	GCF_000299965.1	ASM29996v1	385025	Cycloclasticus sp. P1	strain=P1; MCCC 1A01040	latest	Complete Genome	14	14	93.33	0.00
GCF_000300005.1	GCF_000300005.1	ASM30000v1	930169	Alcanivorax dieselolei B5	strain=B5	latest	Complete Genome	14	14	93.33	0.00
GCF_000299995.1	GCF_000299995.1	ASM29999v1	1004785	Alteromonas macleodii str. 'Black Sea 11'	strain=Black Sea 11	latest	Complete Genome	14	14	93.33	0.00
GCF_000307105.1	GCF_000307105.1	ASM30710v1	651182	Desulfobacula toluolica Tol2	strain=Tol2	latest	Complete Genome	14	14	93.33	0.00
GCF_000306765.2	GCF_000306765.2	ASM30676v2	523841	Haloferax mediterranei ATCC 33500	strain=CGMCC 1.2087	latest	Complete Genome	14	13	86.67	6.67
GCF_000305785.2	GCF_000305785.2	ASM30578v2	1117647	Simiduia agarivorans SA1 = DSM 21679	strain=SA1 = DSM 21679	latest	Complete Genome	14	14	93.33	0.00
GCF_000300175.1	GCF_000300175.1	ASM30017v1	1004787	Alteromonas macleodii str. 'Balearic Sea AD45'	strain=Balearic Sea AD45	latest	Complete Genome	14	14	93.33	0.00
GCF_000331025.1	GCF_000331025.1	ASM33102v1	1121451	Desulfovibrio hydrothermalis AM13 = DSM 14728	strain=AM13 = DSM 14728	latest	Chromosome	14	14	93.33	0.00
GCF_000317065.1	GCF_000317065.1	ASM31706v1	82654	Pseudanabaena sp. PCC 7367	strain=PCC 7367	latest	Complete Genome	14	14	93.33	0.00
GCF_000283575.1	GCF_000283575.1	ASM28357v1	693746	Oscillibacter valericigenes Sjm18-20	strain=Sjm18-20	latest	Complete Genome	13	13	86.67	0.00
GCF_000341395.1	GCF_000341395.1	ASM34139v1	1167006	Desulfocapsa sulfexigens DSM 10523	strain=DSM 10523	latest	Complete Genome	14	14	93.33	0.00
GCF_000310085.1	GCF_000310085.1	ASM31008v1	1004786	Alteromonas mediterranea DE1	strain=AltDE1	latest	Complete Genome	14	14	93.33	0.00
GCF_000340565.2	GCF_000340565.2	ASM34056v3	313624	Nodularia spumigena CCY9414	strain=CCY9414	latest	Chromosome	14	14	93.33	0.00
GCF_000332115.1	GCF_000332115.1	ASM33211v1	592029	Nonlabens dokdonensis DSW-6	strain=DSW-6	latest	Complete Genome	14	14	93.33	0.00
GCF_000299395.1	GCF_000299395.1	ASM29939v1	1229909	Candidatus Nitrosopumilus sediminis	strain=AR2	latest	Complete Genome	14	14	93.33	0.00
GCF_000316665.1	GCF_000316665.1	ASM31666v1	373994	Rivularia sp. PCC 7116	strain=PCC 7116	latest	Complete Genome	14	14	93.33	0.00
GCF_000341895.1	GCF_000341895.1	ASM34189v1	1322246	Pseudodesulfovibrio piezophilus C1TLV30	strain=type strain: C1TLV30	latest	Chromosome	14	14	93.33	0.00
GCF_000347635.1	GCF_000347635.1	ASM34763v1	1129794	Paraglaciecola psychrophila 170	strain=170	latest	Complete Genome	13	13	86.67	0.00
GCF_000319575.2	GCF_000319575.2	ASM31957v2	1260251	Spiribacter salinus M19-40	strain=M19-40	latest	Complete Genome	14	14	93.33	0.00
GCF_000390265.1	GCF_000390265.1	ASM39026v1	243274	Thermotoga maritima MSB8	strain=MSB8	latest	Complete Genome	14	14	93.33	0.00
GCF_000299955.1	GCF_000299955.1	ASM29995v1	1004788	Alteromonas macleodii str. 'English Channel 673'	strain=English Channel 673	latest	Complete Genome	14	14	93.33	0.00
GCF_000172635.2	GCF_000172635.2	ASM17263v2	529120	Alteromonas macleodii ATCC 27126	strain=ATCC 27126	latest	Complete Genome	14	14	93.33	0.00
GCF_000319385.1	GCF_000319385.1	ASM31938v1	1193729	Candidatus Endolissoclinum faulkneri L2	strain=L2	latest	Complete Genome	14	14	93.33	0.00
GCF_000331105.1	GCF_000331105.1	ASM33110v1	1166018	Fibrella aestuarina BUZ 2	strain=BUZ 2	latest	Chromosome	14	14	93.33	0.00
GCF_000355805.1	GCF_000355805.1	ASM35580v1	1239415	Dokdonia sp. PRO95	strain=PRO95	latest	Chromosome	13	13	86.67	0.00
GCF_000299335.2	GCF_000299335.2	ASM29933v2	391936	Alcanivorax pacificus W11-5	strain=W11-5	latest	Complete Genome	14	14	93.33	0.00
GCF_000327505.1	GCF_000327505.1	ASM32750v1	673860	Aciduliprofundum sp. MAR08-339	strain=MAR08-339	latest	Complete Genome	14	14	93.33	0.00
GCF_000327045.1	GCF_000327045.1	ASM32704v1	765912	Thioflavicoccus mobilis 8321	strain=8321	latest	Complete Genome	14	14	93.33	0.00
GCF_000355675.1	GCF_000355675.1	ASM35567v1	1298593	Thalassolituus oleivorans MIL-1	strain=MIL-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000439595.1	GCF_000439595.1	ASM43959v1	1300259	Alteromonas mediterranea UM4b	strain=Ionian Sea UM4b	latest	Complete Genome	14	14	93.33	0.00
GCF_000470655.1	GCF_000470655.1	HATI1	1033806	Halorhabdus tiamatea SARL4B	strain=type strain: SARL4B	latest	Complete Genome	14	13	86.67	6.67
GCF_000442595.1	GCF_000442595.1	ASM44259v1	1198232	Cycloclasticus zancles 78-ME	strain=78-ME	latest	Complete Genome	14	14	93.33	0.00
GCF_000325705.1	GCF_000325705.1	ASM32570v1	926556	Echinicola vietnamensis DSM 17526	strain=DSM 17526	latest	Complete Genome	14	14	93.33	0.00
GCF_000462975.1	GCF_000462975.1	ASM46297v1	882944	Vibrio anguillarum M3	strain=M3	latest	Complete Genome	14	14	93.33	0.00
GCF_000439535.1	GCF_000439535.1	ASM43953v1	1300256	Alteromonas mediterranea U7	strain=Ionian Sea U7	latest	Complete Genome	14	14	93.33	0.00
GCF_000485905.1	GCF_000485905.1	ASM48590v1	1335757	Spiribacter curvatus	strain=UAH-SP71	latest	Complete Genome	14	14	93.33	0.00
GCF_000439575.1	GCF_000439575.1	ASM43957v1	1300258	Alteromonas mediterranea UM7	strain=Ionian Sea UM7	latest	Complete Genome	14	14	93.33	0.00
GCF_000477035.2	GCF_000477035.2	ASM47703v2	1348585	Cellulophaga baltica NN016038	strain=NN016038	latest	Complete Genome	14	14	93.33	0.00
GCF_000473245.1	GCF_000473245.1	ASM47324v1	1367477	Bacillus infantis NRRL B-14911	strain=NRRL B-14911	latest	Complete Genome	14	14	93.33	0.00
GCF_000517445.1	GCF_000517445.1	ASM51744v1	582419	Thermococcus paralvinellae	strain=ES1	latest	Complete Genome	14	14	93.33	0.00
GCF_000510265.1	GCF_000510265.1	ASM51026v1	1401328	Candidatus Endolissoclinum faulkneri L5	strain=L5	latest	Complete Genome	14	14	93.33	0.00
GCF_000442645.1	GCF_000442645.1	ASM44264v1	1224163	Corynebacterium maris DSM 45190	strain=DSM 45190	latest	Complete Genome	14	14	93.33	0.00
GCF_000468615.2	GCF_000468615.2	ASM46861v2	1348584	Cellulophaga baltica 18	strain=18	latest	Complete Genome	14	14	93.33	0.00
GCF_000507245.1	GCF_000507245.1	ASM50724v1	1307761	Salinispira pacifica	strain=L21-RPul-D2	latest	Complete Genome	14	14	93.33	0.00
GCF_000495635.1	GCF_000495635.1	GBA94-10.20	1218177	Streptomyces sp. GBA 94-10	strain=GBA 94-10	latest	Chromosome	14	14	93.33	0.00
GCF_000511355.1	GCF_000511355.1	ASM51135v1	999552	Leisingera methylohalidivorans DSM 14336	strain=DSM 14336; MB2	latest	Complete Genome	14	14	93.33	0.00
GCF_000520135.2	GCF_000520135.2	ASM52013v2	1188256	Rhodovulum sulfidophilum DSM 1374	strain=DSM 1374	latest	Chromosome	14	14	93.33	0.00
GCF_000495755.1	GCF_000495755.1	PVA94-07.23	1225337	Streptomyces sp. PVA_94-07	strain=PVA 94-07	latest	Chromosome	14	14	93.33	0.00
GCF_000503895.1	GCF_000503895.1	ASM50389v1	1029756	Hyphomicrobium nitrativorans NL23	strain=NL23	latest	Complete Genome	14	14	93.33	0.00
GCF_000418305.1	GCF_000418305.1	ASM41830v1	571800	Psychrobacter sp. G	strain=G	latest	Complete Genome	14	14	93.33	0.00
GCF_000568495.1	GCF_000568495.1	ASM56849v1	1429044	Vibrio parahaemolyticus UCM-V493	strain=UCM-V493	latest	Complete Genome	14	14	93.33	0.00
GCF_000511385.1	GCF_000511385.1	ASM51138v1	1423144	Phaeobacter gallaeciensis DSM 26640	strain=DSM 26640	latest	Complete Genome	14	14	93.33	0.00
GCF_000582555.1	GCF_000582555.1	ASM58255v1	1208320	Thalassolituus oleivorans R6-15	strain=R6-15	latest	Complete Genome	14	14	93.33	0.00
GCF_000585495.1	GCF_000585495.1	ASM58549v1	195522	Thermococcus nautili	strain=30-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000439495.1	GCF_000439495.1	ASM43949v1	1300254	Alteromonas mediterranea MED64	strain=Aegean Sea MED64	latest	Complete Genome	14	14	93.33	0.00
GCF_000328405.1	GCF_000328405.1	ASM32840v1	1211705	Vibrio parahaemolyticus BB22OP	strain=BB22OP	latest	Complete Genome	14	14	93.33	0.00
GCF_000732905.1	GCF_000732905.1	ASM73290v1	759620	Weissella ceti	strain=WS08	latest	Complete Genome	14	14	93.33	0.00
GCF_000590795.1	GCF_000590795.1	ASM59079v1	1423891	Brucella ceti TE10759-12	strain=TE10759-12	latest	Complete Genome	14	14	93.33	0.00
GCF_000590815.1	GCF_000590815.1	ASM59081v1	1407053	Brucella ceti TE28753-12	strain=TE28753-12	latest	Complete Genome	12	12	80.00	0.00
GCF_000632985.1	GCF_000632985.1	ASM63298v1	1286528	Neorickettsia helminthoeca str. Oregon	strain=Oregon	latest	Complete Genome	14	14	93.33	0.00
GCF_000734035.1	GCF_000734035.1	ASM73403v1	1344584	Archaeoglobus fulgidus DSM 8774	strain=DSM 8774	latest	Complete Genome	14	14	93.33	0.00
GCF_000590925.1	GCF_000590925.1	ASM59092v1	1294273	Roseibacterium elongatum DSM 19469	strain=DFL-43	latest	Complete Genome	14	14	93.33	0.00
GCF_000730385.1	GCF_000730385.1	ASM73038v1	589873	Alteromonas australica	strain=H 17	latest	Complete Genome	14	14	93.33	0.00
GCF_000725425.1	GCF_000725425.1	ASM72542v1	1343739	Palaeococcus pacificus DY20341	strain=DY20341	latest	Complete Genome	14	14	93.33	0.00
GCF_000626635.1	GCF_000626635.1	ASM62663v1	1168034	Draconibacterium orientale	strain=Draconibacterium orientale type strain FH5T	latest	Complete Genome	14	14	93.33	0.00
GCF_000723205.1	GCF_000723205.1	FAGA1	1347342	Formosa agariphila KMM 3901	strain=type strain: KMM 3901	latest	Chromosome	14	14	93.33	0.00
GCF_000661915.1	GCF_000661915.1	ASM66191v1	316	Pseudomonas stutzeri	strain=19SMN4	latest	Complete Genome	14	14	93.33	0.00
GCF_000739395.1	GCF_000739395.1	ASM73939v1	96345	Flavobacterium psychrophilum	strain=CSF259-93	latest	Complete Genome	14	14	93.33	0.00
GCF_000750515.1	GCF_000750515.1	ASM75051v1	759620	Weissella ceti	strain=WS74	latest	Complete Genome	14	14	93.33	0.00
GCF_000737535.1	GCF_000737535.1	ASM73753v1	1280380	Synechococcus sp. KORDI-100	strain=KORDI 100	latest	Complete Genome	14	14	93.33	0.00
GCF_000739065.1	GCF_000739065.1	ASM73906v1	1301915	Methanocaldococcus bathoardescens	strain=JH146	latest	Complete Genome	14	14	93.33	0.00
GCF_000691605.1	GCF_000691605.1	ASM69160v1	959	Bdellovibrio bacteriovorus	strain=109J	latest	Complete Genome	13	13	86.67	0.00
GCF_000737595.1	GCF_000737595.1	ASM73759v1	585425	Synechococcus sp. KORDI-52	strain=KORDI 52	latest	Complete Genome	14	14	93.33	0.00
GCF_000737575.1	GCF_000737575.1	ASM73757v1	585423	Synechococcus sp. KORDI-49	strain=KORDI 49	latest	Complete Genome	14	14	93.33	0.00
GCF_000754365.1	GCF_000754365.1	ASM75436v1	1452725	Flavobacterium psychrophilum FPG101	strain=FPG101	latest	Complete Genome	14	14	93.33	0.00
GCF_000750535.1	GCF_000750535.1	ASM75053v1	759620	Weissella ceti	strain=WS105	latest	Complete Genome	13	13	86.67	0.00
GCF_000755705.1	GCF_000755705.1	ASM75570v1	1541959	Candidatus Izimaplasma sp. HR1	strain=HR1	latest	Complete Genome	14	14	93.33	0.00
GCF_000757845.1	GCF_000757845.1	ASM75784v1	1501268	Prochlorococcus sp. MIT 0604	strain=MIT 0604	latest	Complete Genome	14	14	93.33	0.00
GCF_000746665.1	GCF_000746665.1	ASM74666v1	672	Vibrio vulnificus	strain=93U204	latest	Complete Genome	14	14	93.33	0.00
GCF_000308235.1	GCF_000308235.1	ASM30823v2	1197884	Acinetobacter venetianus VE-C3	strain=VE-C3	latest	Chromosome	14	14	93.33	0.00
GCF_000757865.1	GCF_000757865.1	ASM75786v1	1501269	Prochlorococcus sp. MIT 0801	strain=MIT 0801	latest	Complete Genome	14	14	93.33	0.00
GCF_000750195.1	GCF_000750195.1	ASM75019v1	979	Cellulophaga lytica	strain=HI1	latest	Complete Genome	14	14	93.33	0.00
GCF_000769655.1	GCF_000769655.1	ASM76965v1	1505907	Thermococcus eurythermalis	strain=A501	latest	Complete Genome	14	14	93.33	0.00
GCF_000764555.1	GCF_000764555.1	ASM76455v1	1547445	Francisella sp. FSC1006	strain=FSC1006	latest	Complete Genome	14	14	93.33	0.00
GCF_000754405.1	GCF_000754405.1	ASM75440v1	1452724	Flavobacterium psychrophilum FPG3	strain=FPG3	latest	Complete Genome	14	14	93.33	0.00
GCF_000756615.1	GCF_000756615.1	ASM75661v1	44251	Paenibacillus durus	strain=DSM 1735	latest	Complete Genome	14	14	93.33	0.00
GCF_000763535.1	GCF_000763535.1	ASM76353v2	190893	Vibrio coralliilyticus	strain=OCN014	latest	Complete Genome	14	14	93.33	0.00
GCF_000789335.1	GCF_000789335.1	ASM78933v1	1157948	Thermotoga sp. 2812B	strain=2812B	latest	Complete Genome	14	14	93.33	0.00
GCF_000812185.1	GCF_000812185.1	ASM81218v1	1410606	Candidatus Nitrosopelagicus brevis	strain=CN25	latest	Complete Genome	13	13	86.67	0.00
GCF_000789255.1	GCF_000789255.1	ASM78925v1	565033	Geoglobus acetivorans	strain=SBH6	latest	Complete Genome	14	14	93.33	0.00
GCF_000786425.1	GCF_000786425.1	Vibrio_anguillarum_NB10_serovar_O1	55601	Vibrio anguillarum	strain=NB10	latest	Complete Genome	14	14	93.33	0.00
GCF_000772065.1	GCF_000772065.1	ASM77206v1	190893	Vibrio coralliilyticus	strain=RE98	latest	Complete Genome	14	14	93.33	0.00
GCF_000767465.1	GCF_000767465.1	ASM76746v1	1088721	Novosphingobium pentaromativorans US6-1	strain=US6-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000789375.1	GCF_000789375.1	ASM78937v1	1157947	Thermotoga sp. Cell2	strain=Cell2	latest	Complete Genome	14	14	93.33	0.00
GCF_000772105.1	GCF_000772105.1	ASM77210v1	1051646	Vibrio tubiashii ATCC 19109	strain=19109	latest	Complete Genome	14	14	93.33	0.00
GCF_000818095.1	GCF_000818095.1	ASM81809v1	1508404	Jeotgalibacillus malaysiensis	strain=malaysiensis	latest	Complete Genome	14	14	93.33	0.00
GCF_000815145.1	GCF_000815145.1	ASM81514v1	1446792	Bacillus sp. Pc3	strain=Pc3	latest	Complete Genome	14	14	93.33	0.00
GCF_000785535.1	GCF_000785535.1	ASM78553v1	1494608	Arthrobacter sp. PAMC 25486	strain=PAMC 25486	latest	Complete Genome	14	14	93.33	0.00
GCF_000801295.1	GCF_000801295.1	ASM80129v1	1248727	endosymbiont of unidentified scaly snail isolate Monju	NA	latest	Complete Genome	14	14	93.33	0.00
GCF_000788395.1	GCF_000788395.1	ASM78839v1	1348114	Pseudoalteromonas piratica	strain=OCN003	latest	Complete Genome	14	14	93.33	0.00
GCF_000819565.1	GCF_000819565.1	ASM81956v1	1208324	Celeribacter indicus	strain=P73	latest	Complete Genome	14	14	93.33	0.00
GCF_000830985.1	GCF_000830985.1	ASM83098v1	1420916	Marinobacter similis	strain=A3d10	latest	Complete Genome	13	13	86.67	0.00
GCF_000831005.1	GCF_000831005.1	ASM83100v1	1420917	Marinobacter salarius	strain=R9SW1	latest	Complete Genome	12	12	80.00	0.00
GCF_000828615.1	GCF_000828615.1	ASM82861v1	1076588	Thiolapillus brandeum	strain=Hiromi 1	latest	Complete Genome	14	14	93.33	0.00
GCF_000828715.1	GCF_000828715.1	ASM82871v1	754409	Winogradskyella sp. PG-2	strain=PG-2	latest	Complete Genome	14	14	93.33	0.00
GCF_000801275.2	GCF_000801275.2	ASM80127v1	28173	Vibrio nigripulchritudo	strain=SFn1	latest	Complete Genome	14	14	93.33	0.00
GCF_000831205.1	GCF_000831205.1	ASM83120v1	96345	Flavobacterium psychrophilum	strain=phage resistant V4-33	latest	Complete Genome	14	14	93.33	0.00
GCF_000831185.1	GCF_000831185.1	ASM83118v1	96345	Flavobacterium psychrophilum	strain=phage resistant V4-24	latest	Complete Genome	14	14	93.33	0.00
GCF_000828475.1	GCF_000828475.1	ASM82847v1	1384459	Methyloceanibacter caenitepidi	strain=Gela4	latest	Complete Genome	14	14	93.33	0.00
GCF_000827835.1	GCF_000827835.1	ASM82783v1	1592728	Haloarcula sp. CBA1115	strain=CBA1115	latest	Complete Genome	13	12	80.00	6.67
GCF_000831485.1	GCF_000831485.1	ASM83148v1	1346	Streptococcus iniae	strain=YSFST01-82	latest	Complete Genome	14	14	93.33	0.00
GCF_000831225.1	GCF_000831225.1	ASM83122v1	96345	Flavobacterium psychrophilum	strain=phage resistant V3-5	latest	Complete Genome	14	14	93.33	0.00
GCF_000832145.1	GCF_000832145.1	ASM83214v1	126738	Thermotoga sp. RQ7	strain=RQ7	latest	Complete Genome	14	14	93.33	0.00
GCF_000816785.1	GCF_000816785.1	ASM81678v1	1388753	Campylobacter peloridis LMG 23910	strain=LMG 23910	latest	Complete Genome	14	14	93.33	0.00
GCF_000831385.1	GCF_000831385.1	ASM83138v1	1454201	Nonlabens marinus S1-08	strain=S1-08	latest	Chromosome	14	14	93.33	0.00
GCF_000833025.1	GCF_000833025.1	ASM83302v1	480520	Myroides profundi	strain=D25	latest	Complete Genome	14	14	93.33	0.00
GCF_000934525.1	GCF_000934525.1	ASM93452v1	589873	Alteromonas australica	strain=DE170	latest	Complete Genome	14	14	93.33	0.00
GCF_000789355.1	GCF_000789355.1	ASM78935v1	1415774	Clostridium botulinum 202F	strain=202F	latest	Complete Genome	14	14	93.33	0.00
GCF_000964565.1	GCF_000964565.1	ASM96456v1	29486	Yersinia ruckeri	strain=Big Creek 74	latest	Complete Genome	14	14	93.33	0.00
GCF_000956175.1	GCF_000956175.1	ASM95617v1	1580092	Nitrosopumilus adriaticus	strain=NF5	latest	Complete Genome	13	13	86.67	0.00
GCF_000941055.1	GCF_000941055.1	ASM94105v1	1454006	Siansivirga zeaxanthinifaciens CC-SAMT-1	strain=CC-SAMT-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000967895.1	GCF_000967895.1	ASM96789v1	698738	Oleispira antarctica RB-8	NA	latest	Complete Genome	14	14	93.33	0.00
GCF_000953735.1	GCF_000953735.1	MVIS1	80854	Moritella viscosa	NA	latest	Complete Genome	14	14	93.33	0.00
GCF_000954115.1	GCF_000954115.1	ASM95411v1	1564114	Rhodococcus sp. B7740	strain=B7740	latest	Complete Genome	14	14	93.33	0.00
GCF_000970145.1	GCF_000970145.1	ASM97014v1	1434118	Methanosarcina siciliae C2J	strain=C2J	latest	Complete Genome	14	14	93.33	0.00
GCF_000970045.1	GCF_000970045.1	ASM97004v1	1434100	Methanosarcina sp. MTP4	strain=MTP4	latest	Complete Genome	14	14	93.33	0.00
GCF_000953695.1	GCF_000953695.1	AWOD1	80852	Aliivibrio wodanis	NA	latest	Complete Genome	13	13	86.67	0.00
